Name,Scene,Start,End,Loop
sHMojya,scene1,4767,5634,true
sHMojya,scene2,10366,11200,true
sHMojya,scene3,15566,16667,true
sHMojya,scene4,20650,21000,true
sHMojya,scene5,25067,26083,true
sHMojya,scene6,30617,31266,true
sHMojya,scene7,35468,36751,true
sHMojya,finish,55550,64333,false
sHMojyaFuta,scene1,70616,72633,true
sHMojyaFuta,scene2,75667,76399,true
sHMojyaFuta,scene3,80829,81766,true
sHMojyaFuta,scene4,86367,87100,true
sHMojyaFuta,scene5,90866,91434,true
sHMojyaFuta,finish,121317,133267,false
sHMojyaFuta,finish2,121317,133267,false
sHFakeBarel,scene1,136433,141450,true
sHFakeBarel,scene2,141683,144284,true
sHFakeBarel,finish,187100,192501,true
sHFakePlant,scene1,202184,203884,true
sHFakePlant,scene2,207266,212366,true
sHFakePlant,scene3,212366,217433,true
sHFakePlant,scene4,217433,222533,true
sHFakePlant,finish,252915,258649,false
sHInsect,scene1,267999,273116,true
sHInsect,scene1,273116,278183,true
sHInsect,scene1,278183,283249,true
sHInsect,finish,318716,323399,true
sHForestTentscle,scene1,0,4767,true
sHForestTentscle,scene2,0,4767,true
sHForestTentscle,finish,0,4767,false
sHSlimePre,scene1,0,4767,true
sHSlimePre,scene2,0,4767,true
sHSlime,pre,0,4767,true
sHSlime,scene1,0,4767,true
sHSlime,scene2,0,4767,true
sHSlime,scene3,0,4767,true
sHSlime,scene4,0,4767,true
sHAlraune02,scene1,0,4767,true
sHAlraune02,scene2,0,4767,true
sHAlraune02,scene3,0,4767,true
sHAlraune02,scene4,0,4767,true
sHAlraune02,scene5,0,4767,true
sHAlraune02,finish,0,4767,false
sHImomusi,start,0,4767,true
sHImomusi,scene1,0,4767,true
sHImomusi,scene2,0,4767,true
sHImomusi,scene3,0,4767,true
sHImomusi,finish,0,4767,false
sHGhost,start,0,4767,true
sHGhost,scene1,0,4767,true
sHGhost,scene2,0,4767,true
sHGhost,scene3,0,4767,true
sHGhost,finish,0,4767,false
sHKubidake,scene1,0,4767,true
sHKubidake,scene2,0,4767,true
sHKubidake,finish,0,4767,false
sHTachiSyokusyu,scene1,0,4767,true
sHTachiSyokusyu,scene2,0,4767,true
sHTachiSyokusyu,scene3,0,4767,true
sHTachiSyokusyu,finish,0,4767,false
sHKamiObake,scene1,0,4767,true
sHKamiObake,scene2,0,4767,true
sHKamiObake,finish,0,4767,false
