Name,Scene,Start,End,Loop
sMojyaH,start,2666,3999,false
sMojyaH,scene3,5666,8533,true
sMojyaH,scene2,8833,12733,true
sMojyaH,scene1,12733,15400,true
sMojyaH,pre_finish,15699,18266,true
sMojyaH,gameover,18299,21333,true
sMojyaH,finish,21599,25933,false
sMojyaH,end_finish,26599,30399,false
sMojyaDownH,start,32000,33300,false
sMojyaDownH,scene3,36066,40066,true
sMojyaDownH,scene2,40933,44666,true
sMojyaDownH,scene1,45033,49033,true
sMojyaDownH,pre_finish,49566,52500,true
sMojyaDownH,finish,52500,56833,false
sMojyaDownH,end_finish,58199,61866,false
sJikeiH,start,63066,65766,false
sJikeiH,scene3,66499,72100,true
sJikeiH,scene2,72633,76366,true
sJikeiH,scene1,76733,81933,true
sJikeiH,pre_finish,82466,84867,true
sJikeiH,gameover,85266,92733,true
sJikeiH,finish,93166,101233,false
sJikeiH,end_finish,102466,105466,false
sJikeiDownH,start,109466,112799,false
sJikeiDownH,scene3,113533,118333,true
sJikeiDownH,scene2,118433,123233,true
sJikeiDownH,scene1,123300,127300,true
sJikeiDownH,pre_finish,128166,130966,true
sJikeiDownH,finish,131333,135932,true
sJikeiDownH,end_finish,136666,139700,false
sCleanerH2,start,140833,142866,false
sCleanerH2,scene3,145433,148766,true
sCleanerH2,scene2,148766,153766,true
sCleanerH2,scene1,153933,159266,true
sCleanerH2,pre_finish,159566,162133,true
sCleanerH2,finish,162166,166366,false
sCleanerH2,end_finish,167000,171000,false
sCleanerH3,start,175399,177400,false
sCleanerH3,scene3,178199,180866,true
sCleanerH3,scene2,181033,185033,true
sCleanerH3,scene1,185966,191299,true
sCleanerH3,pre_finish,191333,193900,true
sCleanerH3,finish,193900,198100,false
sCleanerH3,end_finish,198800,202800,false
sCleanerH,start,205966,208966,false
sCleanerH,scene3,209666,212933,true
sCleanerH,scene2,213400,218733,true
sCleanerH,scene1,218900,223099,true
sCleanerH,pre_finish,223400,226200,true
sCleanerH,finish,226699,231400,false
sCleanerH,end_finish,232099,236133,false
sHArakune,start,237100,238433,false
sHArakune,scene3,242766,246766,true
sHArakune,scene2,247033,255033,true
sHArakune,scene1,255266,261400,true
sHArakune,pre_finish,262833,266500,true
sHArakune,gameover,266500,271299,true
sHArakune,finish,271766,276100,false
sHArakune,end_finish,276833,280533,false
sHDeadArakune,start,281866,285199,false
sHDeadArakune,scene3,285900,289899,true
sHDeadArakune,scene2,290133,294133,true
sHDeadArakune,scene1,294233,298233,true
sHDeadArakune,pre_finish,298466,301466,true
sHDeadArakune,finish,301899,305100,false
sHDeadArakune,end_finish,309499,315499,false
sSuccubusH,start,316699,319899,false
sSuccubusH,scene3,320633,325966,true
sSuccubusH,scene2,326566,332566,true
sSuccubusH,scene1,333100,337100,true
sSuccubusH,pre_finish,337733,341065,true
sSuccubusH,gameover,341300,345966,true
sSuccubusH,finish,346766,352100,false
sSuccubusH,end_finish,353099,358366,false
sSuccubusDownH,start,360433,362599,false
sSuccubusDownH,scene3,365266,370866,true
sSuccubusDownH,scene2,370999,376200,true
sSuccubusDownH,scene1,376633,381433,true
sSuccubusDownH,pre_finish,381700,384633,true
sSuccubusDownH,finish,384800,388466,false
sSuccubusDownH,end_finish,389699,394000,false
sTrapOtosianaH,start,395199,400199,false
sTrapOtosianaH,scene3,400899,405899,true
sTrapOtosianaH,scene2,406099,410766,true
sTrapOtosianaH,scene1,410899,414233,true
sTrapOtosianaH,pre_finish,414600,414799,true
sTrapOtosianaH,gameover,418166,423833,true
sTrapOtosianaH,finish,424300,429500,false
sTrapOtosianaH,end_finish,436066,446466,false
sNurseH,start,452833,455866,false
sNurseH,scene3,459466,464799,true
sNurseH,scene2,464966,471966,true
sNurseH,scene1,472500,476766,true
sNurseH,pre_finish,477133,480466,true
sNurseH,gameover,480699,484699,true
sNurseH,finish,484933,488933,false
sNurseH,end_finish,490199,492900,false
sNurseDownH,start,495799,501299,false
sNurseDownH,scene3,502366,507033,true
sNurseDownH,scene2,507533,516866,true
sNurseDownH,scene1,517100,523099,true
sNurseDownH,pre_finish,523466,526800,true
sNurseDownH,finish,526800,533799,false
sNurseDownH,end_finish,534533,538533,false
sNurseMojyaH,start,539499,542500,false
sNurseMojyaH,scene3,543999,547333,true
sNurseMojyaH,scene2,547433,550366,true
sNurseMojyaH,scene1,550666,556000,true
sNurseMojyaH,pre_finish,556400,559333,true
sNurseMojyaH,gameover,559700,562899,true
sNurseMojyaH,finish,563299,570299,false
sNurseMojyaH,end_finish,571166,576366,false
sNurseMojyaDownH,start,583133,586133,false
sNurseMojyaDownH,scene3,589733,595066,true
sNurseMojyaDownH,scene2,595233,599899,true
sNurseMojyaDownH,scene1,600600,604332,true
sNurseMojyaDownH,pre_finish,604966,607966,true
sNurseMojyaDownH,finish,608266,614266,false
sNurseMojyaDownH,end_finish,614799,616633,false
sJoiH,start,620200,623633,false
sJoiH,scene3,624500,629166,true
sJoiH,scene2,629900,634100,true
sJoiH,scene1,634599,639933,true
sJoiH,pre_finish,640433,643466,true
sJoiH,gameover,643833,648033,true
sJoiH,finish,648499,652166,false
sJoiH,end_finish,652966,657699,false
sJoiDownH,start,659066,661399,false
sJoiDownH,scene3,664366,669700,true
sJoiDownH,scene2,670000,676266,true
sJoiDownH,scene1,677599,682933,true
sJoiDownH,pre_finish,683033,686033,true
sJoiDownH,finish,686366,691200,false
sJoiDownH,end_finish,691766,695466,false
sViseH1,start,696466,698966,false
sViseH1,scene3,701966,705699,true
sViseH1,scene2,705933,710199,true
sViseH1,scene1,710433,716433,true
sViseH1,pre_finish,717133,719799,true
sViseH1,gameover,720066,724066,true
sViseH1,finish,724700,728600,false
sViseH1,end_finish,730066,733399,false
sViseH2,start,734566,737099,false
sViseH2,scene3,740066,743800,true
sViseH2,scene2,744166,748433,true
sViseH2,scene1,748599,753599,true
sViseH2,pre_finish,754133,757333,true
sViseH2,gameover,757600,762599,true
sViseH2,finish,763066,767066,false
sViseH2,end_finish,768199,771533,false
sViseDownH,start,772666,775666,false
sViseDownH,scene3,776399,780400,true
sViseDownH,scene2,781000,786300,true
sViseDownH,scene1,786933,792266,true
sViseDownH,pre_finish,792333,795666,true
sViseDownH,finish,796066,800400,false
sViseDownH,end_finish,801100,806599,false
sArcherH,start,807733,810233,false
sArcherH,scene3,813433,816766,true
sArcherH,scene2,817066,821733,true
sArcherH,scene1,822533,828533,true
sArcherH,pre_finish,829066,832399,true
sArcherH,gameover,832633,839300,true
sArcherH,finish,839599,844599,false
sArcherH,end_finish,845266,851266,false
sArcherDownH,start,859099,862199,false
sArcherDownH,scene3,863500,869099,true
sArcherDownH,scene2,869599,872600,true
sArcherDownH,scene1,872966,878966,true
sArcherDownH,pre_finish,879433,882433,true
sArcherDownH,finish,882733,888400,false
sArcherDownH,end_finish,889133,893133,false
sGhostH,start,894233,895566,false
sGhostH,scene3,897566,902233,true
sGhostH,scene2,902366,913033,true
sGhostH,scene1,913599,919599,true
sGhostH,pre_finish,920099,924299,true
sGhostH,gameover,924799,930799,true
sGhostH,finish,931466,935299,false
sGhostH,end_finish,936099,939433,false
sSankakuMokubaH,start,940433,941633,false
sSankakuMokubaH,scene3,943899,948566,true
sSankakuMokubaH,scene2,949299,952100,true
sSankakuMokubaH,scene1,952533,957866,true
sSankakuMokubaH,pre_finish,958400,960733,true
sSankakuMokubaH,gameover,961200,966533,true
sSankakuMokubaH,finish,966799,971600,false
sSankakuMokubaH,end_finish,972833,976166,false
sDeathH,start,978200,982899,false
sDeathH,scene3,983600,987599,true
sDeathH,scene2,988066,994333,true
sDeathH,scene1,995233,999900,true
sDeathH,pre_finish,1000366,1004366,true
sDeathH,gameover,1004633,1009299,true
sDeathH,finish,1009699,1013700,false
sDeathH,end_finish,1014599,1021299,false
sImomusiH,start,1024866,1027533,false
sImomusiH,scene3,1028466,1032466,true
sImomusiH,scene2,1032766,1038766,true
sImomusiH,scene1,1039733,1045733,true
sImomusiH,pre_finish,1046633,1049833,true
sImomusiH,gameover,1049966,1057466,true
sImomusiH,finish,1058266,1062466,false
sImomusiH,end_finish,1063500,1067666,false
sImomusiDownH,start,1069033,1070666,false
sImomusiDownH,scene3,1072933,1078933,true
sImomusiDownH,scene2,1079466,1087466,true
sImomusiDownH,scene1,1088533,1095533,true
sImomusiDownH,pre_finish,1096033,1099766,true
sImomusiDownH,finish,1100066,1106066,false
sImomusiDownH,end_finish,1107267,1111100,false
sImomusiCarrier,pre_attack,1112233,1113633,true
sImomusiCarrier,idle,1113799,1115900,true
sImomusiCarrier,down,1115900,1117133,true
sImomusiCarrier,damage,1117133,1117599,false
sImomusiCarrier,attack_fast,1118633,1119733,true
sImomusiCarrier,attack,1121466,1123800,true
sHealer,syasei,1125666,1127533,true
sHealer,idle,1130033,1135366,true
sHealer,attack,1136133,1139466,true
sHealerDownH,start,1140466,1142166,false
sHealerDownH,scene3,1144400,1152400,true
sHealerDownH,scene2,1152733,1156733,true
sHealerDownH,scene1,1157366,1163366,true
sHealerDownH,pre_finish,1163500,1167699,true
sHealerDownH,finish,1168099,1172099,false
sHealerDownH,end_finish,1173766,1176033,false
sBomber,walk,1177399,1178333,true
sBomber,pre_attack,1180300,1181566,true
sBomber,idle,1182366,1184366,true
sBomber,attack,1184566,1185899,true
sShamanH,start,1187099,1196066,false
sShamanH,scene3,1197199,1201533,true
sShamanH,scene2,1201700,1206366,true
sShamanH,scene1,1207333,1213166,true
sShamanH,pre_finish,1214099,1217766,true
sShamanH,gameover,1218033,1222033,true
sShamanH,finish,1222333,1231700,false
sShamanH,end_finish,1236000,1240833,false
sShamanDownH,yobi,1248066,1254733,true
sShamanDownH,start,1255700,1263366,false
sShamanDownH,scene3,1265000,1268266,true
sShamanDownH,scene2,1268633,1271966,true
sShamanDownH,scene1,1272133,1280133,true
sShamanDownH,pre_finish,1281000,1285000,true
sShamanDownH,finish,1285133,1291000,false
sShamanDownH,end_finish,1291866,1298066,false
sLamiaH,start,1300599,1302099,false
sLamiaH,scene3,1304133,1309033,true
sLamiaH,scene2,1309900,1316900,true
sLamiaH,scene1,1317100,1321999,true
sLamiaH,pre_finish,1322599,1326266,true
sLamiaH,gameover,1326599,1333300,true
sLamiaH,finish,1334200,1338500,false
sLamiaH,end_finish,1339166,1342166,false
sLamiaDownH,start,1343600,1345300,false
sLamiaDownH,scene3,1347433,1353033,true
sLamiaDownH,scene2,1353533,1356533,true
sLamiaDownH,scene1,1356800,1362400,true
sLamiaDownH,pre_finish,1362833,1366833,true
sLamiaDownH,finish,1367133,1373466,false
sLamiaDownH,end_finish,1374166,1375866,false
sKamakiriH,start,1378700,1382699,false
sKamakiriH,scene3,1383633,1388633,true
sKamakiriH,scene2,1389199,1394533,true
sKamakiriH,scene1,1394833,1404833,true
sKamakiriH,pre_finish,1405800,1408999,true
sKamakiriH,gameover,1409333,1419333,true
sKamakiriH,finish,1420100,1427066,false
