Name,Scene,Start,End,Loop
sHMojya,scene1,4833,9833,true
sHMojya,scene2,10400,14733,true
sHMojya,scene3,15467,20067,true
sHMojya,scene4,20500,24900,true
sHMojya,scene5,25067,29067,true
sHMojya,scene6,30167,35233,true
sHMojya,scene7,35233,55233,true
sHMojya,finish,55533,64333,false
sHMojyaFuta,scene1,70600,75700,true
sHMojyaFuta,scene2,76400,80800,true
sHMojyaFuta,scene3,81433,85100,true
sHMojyaFuta,scene4,86433,90067,true
sHMojyaFuta,scene5,90867,95933,true
sHMojyaFuta,finish,121316,133267,false
sHMojyaFuta,finish2,121316,133267,false
sHFakeBarel,scene1,136367,141433,true
sHFakeBarel,scene2,141433,146533,true
sHFakeBarel,finish,187100,192500,true
sHFakePlant,scene1,202533,207300,true
sHFakePlant,scene2,208133,212767,true
sHFakePlant,scene3,213167,218033,true
sHFakePlant,scene4,218433,222467,true
sHFakePlant,finish,252916,258666,false
sHInsect,scene1,268533,274033,true
sHInsect,scene2,274433,278533,true
sHInsect,scene3,279233,288433,true
sHInsect,finish,318683,323416,true
sHForestTentscle,scene1,333933,338700,true
sHForestTentscle,scene2,338967,343567,true
sHForestTentscle,finish,384533,386900,false
sHSlimePre,scene1,400200,404267,true
sHSlimePre,scene2,404616,405200,false
sHSlime,pre,465400,470400,true
sHSlime,scene1,470400,473500,false
sHSlime,scene2,473500,475500,true
sHSlime,scene3,475500,479583,false
sHSlime,scene4,480567,484966,false
sHAlraune02,scene1,531567,536733,true
sHAlraune02,scene2,536867,542067,true
sHAlraune02,scene3,542550,546717,true
sHAlraune02,scene4,547000,552100,true
sHAlraune02,scene5,552333,556133,true
sHAlraune02,finish,581883,590283,false
sHImomusi,start,596949,598616,false
sHImomusi,scene1,602633,607300,true
sHImomusi,scene2,607734,611867,true
sHImomusi,scene3,613700,617333,true
sHImomusi,finish,647666,653833,false
sHGhost,start,662733,664599,false
sHGhost,scene1,667833,672933,true
sHGhost,scene2,675633,678433,true
